mittlere_position	herkunft	zeichen	in_prompts	satz
0.0	Eroeffnung (Ort, Komposition, Licht-Stichworte)	153	2/26	wmlstil, farm in golden autumn light, open landscape scene seen from a slightly elevated angle, warm late-afternoon sunlight, soft shadows on the ground.
0.0	Eroeffnung (Ort, Komposition, Licht-Stichworte)	187	2/26	wmlstil, farm in golden autumn light, large place seen obliquely from above, the whole site and its surroundings visible at once, warm late-afternoon sunlight, soft shadows on the ground.
0.0	Eroeffnung (Ort, Komposition, Licht-Stichworte)	294	2/26	wmlstil, a family home on Christmas Eve, the whole house cut open: a living room with a lit Christmas tree, a kitchen, a hallway, the stairs and the bedrooms above, building cut open from the side, several floors and rooms visible at once, warm lamp and window light, soft shadows on the floor.
0.0	Eroeffnung (Ort, Komposition, Licht-Stichworte)	319	2/26	wmlstil, a family home on Christmas Eve, the whole house cut open: a living room with a lit Christmas tree, a kitchen, a hallway, the stairs and the bedrooms above, building cut open into many small rooms like a printer's type case, each room its own little scene, warm lamp and window light, soft shadows on the floor.
0.0	Eroeffnung (Ort, Komposition, Licht-Stichworte)	328	2/26	wmlstil, a family home on Christmas Eve, the whole house cut open: a living room with a lit Christmas tree, a kitchen, a hallway, the stairs and the bedrooms above, large place seen obliquely from above, a cut-open house together with the street and surroundings around it, warm lamp and window light, soft shadows on the floor.
0.0	Eroeffnung (Ort, Komposition, Licht-Stichworte)	199	2/26	wmlstil, sunny beach vacation scene with a boardwalk and the sea in the background, open landscape scene seen from a slightly elevated angle, warm late-afternoon sunlight, soft shadows on the ground.
0.0	Eroeffnung (Ort, Komposition, Licht-Stichworte)	233	2/26	wmlstil, sunny beach vacation scene with a boardwalk and the sea in the background, large place seen obliquely from above, the whole site and its surroundings visible at once, warm late-afternoon sunlight, soft shadows on the ground.
0.0	Eroeffnung (Ort, Komposition, Licht-Stichworte)	195	2/26	wmlstil, mountain hiking scene with alpine meadows and peaks in the background, open landscape scene seen from a slightly elevated angle, warm late-afternoon sunlight, soft shadows on the ground.
0.0	Eroeffnung (Ort, Komposition, Licht-Stichworte)	229	2/26	wmlstil, mountain hiking scene with alpine meadows and peaks in the background, large place seen obliquely from above, the whole site and its surroundings visible at once, warm late-afternoon sunlight, soft shadows on the ground.
0.0	Eroeffnung (Ort, Komposition, Licht-Stichworte)	180	2/26	wmlstil, lively city street scene with shops and a small market, open landscape scene seen from a slightly elevated angle, warm late-afternoon sunlight, soft shadows on the ground.
0.0	Eroeffnung (Ort, Komposition, Licht-Stichworte)	214	2/26	wmlstil, lively city street scene with shops and a small market, large place seen obliquely from above, the whole site and its surroundings visible at once, warm late-afternoon sunlight, soft shadows on the ground.
0.0	Eroeffnung (Ort, Komposition, Licht-Stichworte)	183	2/26	wmlstil, sunny playground scene with swings, a slide and a sandbox, open landscape scene seen from a slightly elevated angle, warm late-afternoon sunlight, soft shadows on the ground.
0.0	Eroeffnung (Ort, Komposition, Licht-Stichworte)	217	2/26	wmlstil, sunny playground scene with swings, a slide and a sandbox, large place seen obliquely from above, the whole site and its surroundings visible at once, warm late-afternoon sunlight, soft shadows on the ground.
1.0	NO_MOUTH_EMPHASIS	273	26/26	CRITICAL, above every other style detail in this image: absolutely no human or human-like character anywhere — named hero, midground, or background, no matter how small or freely invented — may have a visible mouth, lips, teeth, tongue, or any mouth-shaped line or opening.
2.0	NO_MOUTH_EMPHASIS	128	26/26	Every single human face in this entire image shows only two small dot eyes and one short vertical nose line, nothing below that.
3.0	NO_MOUTH_EMPHASIS	120	26/26	If in doubt while drawing any human character, leave the lower half of the face blank rather than add any kind of mouth.
4.0	NO_MOUTH_EMPHASIS	236	26/26	Animals are NOT covered by this rule — animals may be drawn with their natural mouths, snouts, beaks or open jaws (a dog holding something in its mouth, a bird chirping, an animal's snout) exactly as a real illustration would show them.
5.0	ZOOM_OUT_RULE	170	26/26	Camera distance is critical for this image: pull back much further than feels natural, as if photographing the whole place from across the street or from an upper window.
6.0	ZOOM_OUT_RULE	157	26/26	This is a wide establishing shot of an entire place, not a scene staged around a few characters — the place is the subject, and the people are what fills it.
7.0	ZOOM_OUT_RULE	96	26/26	Getting further away is what creates the room for the large number of characters required below.
8.0	sizeRule	201	10/26	Character size, and this is the single most important compositional constraint in this image: the tallest person standing at the very front of the scene must fit into the image height eight times over.
8.0	sizeRule	201	12/26	Character size, and this is the single most important compositional constraint in this image: the tallest person standing at the very front of the scene must fit into the image height seven times over.
8.0	sizeRule	216	4/26	Character size, and this is the single most important compositional constraint in this image: the tallest person ANYWHERE in this picture — in any room, on any floor — must fit into the image height eight times over.
9.0	sizeRule	121	10/26	Picture the image height divided into eight equal horizontal bands — a front figure is no taller than one of those bands.
9.0	sizeRule	121	12/26	Picture the image height divided into seven equal horizontal bands — a front figure is no taller than one of those bands.
9.0	sizeRule	133	4/26	Picture the image height divided into eight equal horizontal bands: no person is taller than one of those bands, wherever they stand.
10.0	sizeRule	150	22/26	People in the middle distance are about half that height again, and the many people further back are smaller still, barely more than a thumbnail each.
10.0	sizeRule	93	4/26	There is no foreground figure in a cut-open building and nobody stands in front of the house.
11.0	sizeRule	269	22/26	Use this as a check while composing: if any single character is large enough that a viewer would read them as the subject of a portrait, or if their face carries recognisable detail at a glance, the camera is far too close and the whole composition must be pulled back.
11.0	sizeRule	245	4/26	Use this as a check while composing: if any single character is large enough that a viewer would read them as the subject of a portrait, or if their face carries recognisable detail at a glance, every figure in the house must be redrawn smaller.
12.0	LICHT_AUSSEN	43	20/26	Warm late-afternoon sunlight from one side.
12.0	LICHT_INNEN	34	6/26	Warm light from windows and lamps.
13.0	LICHT_AUSSEN	66	26/26	Every person, animal and object casts a soft shadow on the ground.
14.0	LICHT_AUSSEN	76	26/26	Gentle colour gradients in sky and foliage, distant hills softer and hazier.
15.0	LICHT_AUSSEN	90	26/26	Faces stay simple: dot eyes, small nose line inside the face outline, seen from the front.
16.0	EDGE_AND_FACE_RULE	65	26/26	Two things are never allowed in this image, and they go together.
17.0	EDGE_AND_FACE_RULE	55	26/26	First: no figure is cut off by the edge of the picture.
18.0	EDGE_AND_FACE_RULE	336	26/26	Nobody stands half in and half out at the bottom, the top or the sides, and there is no oversized head or shoulder pushed up against the front edge as a framing device — every single person in this scene stands fully inside the picture, complete from head to foot, and no person anywhere is drawn larger than the size limit given above.
19.0	EDGE_AND_FACE_RULE	50	26/26	Second: every face that appears is actually drawn.
20.0	EDGE_AND_FACE_RULE	180	26/26	Each one shows the two small dot eyes and the single short vertical nose line — never an empty, blank oval with nothing on it, however small or however near the edge the figure is.
21.0	EDGE_AND_FACE_RULE	69	26/26	The mouth stays absent, as the rule above says; eyes and nose do not.
22.0	BASE_CANVAS_NOTE	69	26/26	Reference image 1 is an empty sheet in the paper colour of this book.
23.0	BASE_CANVAS_NOTE	87	26/26	It shows nothing and means nothing — it is only the blank surface to draw the scene on.
24.0	BASE_CANVAS_NOTE	132	26/26	Do not look for anything in it, do not copy anything from it, and do not leave any part of the finished picture empty because of it.
25.0	BASE_CANVAS_NOTE	60	26/26	Everything that matters is in the reference images after it.
26.0	Heldenbeschreibung (imageRefMapping/heldBeschreibungAusBlatt)	195	26/26	Reference image 2 shows a toddler boy, age 3, chibi proportions, large round head, short small body, short wavy brown hair, wearing a blue-and-white checked shirt and blue shorts and brown shoes.
27.0	Heldenbeschreibung (imageRefMapping/heldBeschreibungAusBlatt)	187	26/26	Reference image 3 shows a toddler girl, age 4, chibi proportions, large round head, short small body, short wavy black hair, wearing a cream polka dot top and blue shorts and brown shoes.
28.0	Heldenbeschreibung (imageRefMapping/heldBeschreibungAusBlatt)	107	26/26	Reference image 4 shows a man, short wavy red hair, wearing a green jumper and blue shorts and brown shoes.
29.0	kinderUnterscheidung	229	13/26	Keep the named children strictly apart: the boy from reference image 2 has short wavy brown hair and wears a blue-and-white checked shirt; the girl from reference image 3 has short wavy black hair and wears a cream polka dot top.
29.0	Heldenbeschreibung (imageRefMapping/heldBeschreibungAusBlatt)	113	13/26	Reference image 5 shows a woman, short wavy grey hair, wearing a yellow raincoat and blue shorts and brown shoes.
30.0	Heldenbeschreibung (imageRefMapping/heldBeschreibungAusBlatt)	122	13/26	Reference image 6 shows a girl, age 7, short wavy blond hair, wearing a red striped dress and blue shorts and brown shoes.
31.0	kinderUnterscheidung	76	26/26	Each child keeps exactly their own hair and clothes: never swap or mix them.
